Percentiles,test,t
0.07627464536496381,B 10G,38600
0.07650787568823769,B 10G,38700
0.07674943566591422,B 10G,38800
0.07701598460679866,B 10G,38900
0.07724921493007256,B 10G,39000
0.07751576387095699,B 10G,39100
0.07776565350303616,B 10G,39200
0.07799055417190741,B 10G,39300
0.07825710311279185,B 10G,39400
0.0784820037816631,B 10G,39500
0.07877354168575545,B 10G,39600
0.07900677200902935,B 10G,39700
0.0792566616411085,B 10G,39800
0.07950655127318768,B 10G,39900
0.07972312228765628,B 10G,40000
0.08001466019174865,B 10G,40100
0.0802395608606199,B 10G,40200
0.08047279118389378,B 10G,40300
0.08073934012477822,B 10G,40400
0.0810142187200653,B 10G,40500
0.08125577869774184,B 10G,40600
0.08147234971221044,B 10G,40700
0.08173056899869224,B 10G,40800
0.08197212897636877,B 10G,40900
0.08220535929964266,B 10G,41000
0.0824719082405271,B 10G,41100
0.08273845718141154,B 10G,41200
0.08296335785028279,B 10G,41300
0.08322157713676459,B 10G,41400
0.08346313711444112,B 10G,41500
0.08370469709211764,B 10G,41600
0.08397957568740473,B 10G,41700
0.08421280601067861,B 10G,41800
0.08446269564275778,B 10G,41900
0.08473757423804486,B 10G,42000
0.0849374859437082,B 10G,42100
0.08520403488459263,B 10G,42200
0.08542893555346388,B 10G,42300
0.0857121438031536,B 10G,42400
0.0859453741264275,B 10G,42500
0.08621192306731194,B 10G,42600
0.08644515339058582,B 10G,42700
0.08672836164027554,B 10G,42800
0.08693660300034152,B 10G,42900
0.0872114815956286,B 10G,43000
0.08744471191890249,B 10G,43100
0.08767794224217637,B 10G,43200
0.0879195022198529,B 10G,43300
0.08819438081513999,B 10G,43400
0.08845260010162179,B 10G,43500
0.08869416007929831,B 10G,43600
0.08894404971137747,B 10G,43700
0.08916895038024872,B 10G,43800
0.08943549932113316,B 10G,43900
0.08967705929880969,B 10G,44000
0.08993527858529149,B 10G,44100
0.0901934978717733,B 10G,44200
0.09041006888624191,B 10G,44300
0.09070160679033427,B 10G,44400
0.09093483711360816,B 10G,44500
0.09118472674568733,B 10G,44600
0.09140962741455858,B 10G,44700
0.091676176355443,B 10G,44800
0.09192606598752218,B 10G,44900
0.09215096665639343,B 10G,45000
0.09241751559727787,B 10G,45100
0.0926590755749544,B 10G,45200
0.0929172948614362,B 10G,45300
0.09316718449351537,B 10G,45400
0.09340041481678925,B 10G,45500
0.09365863410327105,B 10G,45600
0.09391685338975286,B 10G,45700
0.09415841336742939,B 10G,45800
0.09439164369070327,B 10G,45900
0.09464986297718507,B 10G,46000
0.09492474157247216,B 10G,46100
0.09514131258694077,B 10G,46200
0.09541619118222786,B 10G,46300
0.09564942150550174,B 10G,46400
0.09591597044638618,B 10G,46500
0.09613254146085479,B 10G,46600
0.09639076074733659,B 10G,46700
0.0966489800338184,B 10G,46800
0.09689886966589756,B 10G,46900
0.09714042964357408,B 10G,47000
0.09737365996684798,B 10G,47100
0.09764853856213505,B 10G,47200
0.09789009853981158,B 10G,47300
0.09813998817189075,B 10G,47400
0.09837321849516463,B 10G,47500
0.09864809709045172,B 10G,47600
0.0988563384505177,B 10G,47700
0.0991145577369995,B 10G,47800
0.09938110667788394,B 10G,47900
0.0996309963099631,B 10G,48000
0.09986422663323699,B 10G,48100
0.10011411626531615,B 10G,48200
0.10034734658859004,B 10G,48300
0.10060556587507184,B 10G,48400
0.10085545550715101,B 10G,48500
0.10110534513923017,B 10G,48600
0.10135523477130934,B 10G,48700
0.10163011336659641,B 10G,48800
0.10185501403546766,B 10G,48900
0.10212156297635211,B 10G,49000
0.102354793299626,B 10G,49100
0.10260468293170516,B 10G,49200
0.10283791325497905,B 10G,49300
0.10312112150466878,B 10G,49400
0.10335435182794266,B 10G,49500
0.1035792524968139,B 10G,49600
0.10384580143769835,B 10G,49700
0.10409569106977752,B 10G,49800
0.1043289213930514,B 10G,49900
0.1045871406795332,B 10G,50000
0.10481204134840445,B 10G,50100
0.10508691994369154,B 10G,50200
0.10532015026696542,B 10G,50300
0.10557836955344722,B 10G,50400
0.10583658883992902,B 10G,50500
0.10607814881760556,B 10G,50600
0.10634469775849,B 10G,50700
0.10659458739056916,B 10G,50800
0.1067944990962325,B 10G,50900
0.10708603700032486,B 10G,51000
0.10730260801479347,B 10G,51100
0.10757748661008054,B 10G,51200
0.10781071693335444,B 10G,51300
0.1080606065654336,B 10G,51400
0.10829383688870749,B 10G,51500
0.10856871548399456,B 10G,51600
0.1088102754616711,B 10G,51700
0.1090684947481529,B 10G,51800
0.10929339541702415,B 10G,51900
0.10953495539470068,B 10G,52000
0.10979317468118248,B 10G,52100
0.11005972362206692,B 10G,52200
0.11030128359974345,B 10G,52300
0.11054284357741997,B 10G,52400
0.11080939251830442,B 10G,52500
0.11105095249598095,B 10G,52600
0.1113008421280601,B 10G,52700
0.111534072451334,B 10G,52800
0.11180062139221844,B 10G,52900
0.1120505110242976,B 10G,53000
0.11230040065637677,B 10G,53100
0.11255029028845594,B 10G,53200
0.11277519095732719,B 10G,53300
0.11302508058940634,B 10G,53400
0.11329162953029079,B 10G,53500
0.11353318950796731,B 10G,53600
0.11377474948564384,B 10G,53700
0.11400797980891773,B 10G,53800
0.11426619909539953,B 10G,53900
0.11453274803628398,B 10G,54000
0.11475764870515523,B 10G,54100
0.1150325273004423,B 10G,54200
0.11528241693252148,B 10G,54300
0.115523976910198,B 10G,54400
0.11577386654227716,B 10G,54500
0.11600709686555105,B 10G,54600
0.11628197546083813,B 10G,54700
0.11650687612970938,B 10G,54800
0.11675676576178855,B 10G,54900
0.1170066553938677,B 10G,55000
0.1172815339891548,B 10G,55100
0.11750643465802604,B 10G,55200
0.11777298359891047,B 10G,55300
0.11801454357658701,B 10G,55400
0.11827276286306881,B 10G,55500
0.11848933387753742,B 10G,55600
0.11874755316401922,B 10G,55700
0.11899744279609839,B 10G,55800
0.11923900277377492,B 10G,55900
0.11948889240585409,B 10G,56000
0.11972212272912797,B 10G,56100
0.11999700132441506,B 10G,56200
0.12022190199328629,B 10G,56300
0.12049678058857338,B 10G,56400
0.12074667022065254,B 10G,56500
0.12097990054392643,B 10G,56600
0.1212297901760056,B 10G,56700
0.12150466877129268,B 10G,56800
0.12172956944016393,B 10G,56900
0.1219794590722431,B 10G,57000
0.12224600801312753,B 10G,57100
0.1224958976452067,B 10G,57200
0.12270413900527267,B 10G,57300
0.12297068794615712,B 10G,57400
0.12322057757823628,B 10G,57500
0.12347046721031545,B 10G,57600
0.12371202718799197,B 10G,57700
0.12397857612887642,B 10G,57800
0.1242118064521503,B 10G,57900
0.1244700257386321,B 10G,58000
0.12471158571630864,B 10G,58100
0.12493648638517987,B 10G,58200
0.12520303532606433,B 10G,58300
0.12545292495814347,B 10G,58400
0.12570281459022264,B 10G,58500
0.12595270422230181,B 10G,58600
0.12620259385438098,B 10G,58700
0.12643582417765487,B 10G,58800
0.12668571380973404,B 10G,58900
0.12695226275061847,B 10G,59000
0.127193822728295,B 10G,59100
0.1274520420147768,B 10G,59200
0.12770193164685598,B 10G,59300
0.12797681024214305,B 10G,59400
0.12819338125661167,B 10G,59500
0.1284599301974961,B 10G,59600
0.12870149017517263,B 10G,59700
0.1289263908440439,B 10G,59800
0.12917628047612303,B 10G,59900
0.1294261701082022,B 10G,60000
0.12967605974028137,B 10G,60100
0.1299176197179579,B 10G,60200
0.13016750935003707,B 10G,60300
0.13041739898211624,B 10G,60400
0.13067561826859803,B 10G,60500
0.1309255079006772,B 10G,60600
0.131183727187159,B 10G,60700
0.13140862785603025,B 10G,60800
0.1317001657601226,B 10G,60900
0.13192506642899385,B 10G,61000
